First Steps,Answer your first question.,False,,Revealed,5,1
Bullseye,Nail a year exactly.,False,,Revealed,10,2
Sharpshooter,Land 25 perfect guesses.,False,,Revealed,40,3
On a Roll,Reach a 5-guess combo.,False,,Revealed,10,4
Unstoppable,Reach a 10-guess combo.,False,,Revealed,25,5
Centurion,Answer 100 questions.,False,,Revealed,25,6
Rising Historian,Reach level 5.,False,,Revealed,20,7
Master of Time,Reach level 10.,False,,Revealed,40,8
Coin Hoarder,Bank 500 coins at once.,False,,Revealed,20,9
Dedicated,Finish 20 games.,False,,Revealed,25,10
Warming Up,Finish your first game.,False,,Revealed,5,11
Deadeye,Land 5 perfect guesses.,False,,Revealed,20,12
Time Lord,Land 100 perfect guesses.,False,,Revealed,60,13
Flow State,Reach a 20-guess combo.,False,,Revealed,40,14
Creature of Habit,Keep a 3-day Daily streak.,False,,Revealed,10,15
Week of Wisdom,Keep a 7-day Daily streak.,False,,Revealed,25,16
Historian in Residence,Keep a 30-day Daily streak.,False,,Revealed,60,17
First Exhibit,Add your first artefact to the museum.,False,,Revealed,10,18
Curator,Collect 25 museum artefacts.,False,,Revealed,30,19
Grand Curator,Collect 100 museum artefacts.,False,,Revealed,60,20
Scholar,Answer 250 questions.,False,,Revealed,40,21
Chronicler,Answer 500 questions.,False,,Revealed,60,22
Living Legend,"Answer 1,000 questions.",False,,Revealed,80,23
Marathoner,Finish 50 games.,False,,Revealed,40,24
Completionist,Finish 100 games.,False,,Revealed,60,25
Treasure Vault,"Hold 2,000 coins at once.",False,,Revealed,40,26
Chronomancer,Reach level 20.,False,,Revealed,60,27
Timeless,Reach level 30.,False,,Revealed,80,28
